scheme,comparison_pool,entity_name,weighted_mean,weighted_std,generalization_score,final_rank
runtime_005_to_accuracy,single,Absolute Central Moment 2,0.2581367997095359,0.11211244109378887,0.21432949212481178,20
runtime_005_to_accuracy,single,Fourier High Frequency Energy Ratio,0.2658654741355927,0.11871301793650521,0.22171973727586644,21
runtime_005_to_accuracy,single,Intensity Range Index,0.31864949411528537,0.07614875335240066,0.24589927188641994,22
runtime_005_to_accuracy,single,Sum Modified Laplacian,0.3432553647819122,0.14520246527762365,0.28383949493062566,23
runtime_005_to_accuracy,single,Variance of Laplacian,0.35010968649358454,0.15250070709230779,0.2908269926732015,24
runtime_005_to_accuracy,single,Laplacian Energy,0.35243186515222963,0.15196387849726029,0.29229146915573884,25
runtime_005_to_accuracy,single,Image Power,0.3761256392602369,0.12524948723324128,0.3008627936521382,26
runtime_005_to_accuracy,single,Mean Absolute Laplacian,0.37853140929439055,0.1476146270545489,0.30925637462243805,27
runtime_005_to_accuracy,single,GLCM Contrast,0.37878508488453305,0.1838958916398773,0.3203183269111363,28
runtime_005_to_accuracy,single,Mean Intensity,0.4451255279911254,0.08504536014209561,0.33710147763641646,29
runtime_005_to_accuracy,single,Maximal Intensity,0.4431691349949226,0.14715341550530822,0.35436441914803823,30
runtime_005_to_accuracy,single,Histogram Entropy,0.45018086570325067,0.16379922367764668,0.3642663730955694,31
runtime_005_to_accuracy,single,Intensity Skewness Index,0.4706995250895967,0.13330347004773965,0.3694807085770396,32
no_runtime,single,Variance of Gradient,0.14912243556746402,0.02655520669536255,0.11235226690583357,1
no_runtime,single,Modified Tenengrad,0.1523146509863135,0.031359859261781566,0.11602821346895391,2
no_runtime,single,Gradient Squared Energy,0.15345306500965575,0.031084277513881008,0.11674242876092332,3
no_runtime,single,Squared Gradient,0.15345306500965575,0.031084277513881008,0.11674242876092332,4
no_runtime,single,Energy of Gradient,0.1555909928689165,0.029809421116801606,0.11785652134328203,5
no_runtime,single,Tenengrad,0.1555909928689165,0.029809421116801606,0.11785652134328203,6
no_runtime,single,Brenner Gradient,0.1594380228392678,0.03296706890489579,0.1214967366589562,7
no_runtime,single,Fourier Transform Sharpness Index,0.1712093073326099,0.05008708808781501,0.13487264155917142,8
no_runtime,single,Roberts Focus Measure,0.19632295613171602,0.05448425212432305,0.15377134492949812,9
no_runtime,single,DCT Focus Measure,0.2184079365846679,0.042328934429224786,0.16558423593803495,10
no_runtime,single,Spatial Frequency,0.2174856580915985,0.05988820121489458,0.17020642102858732,11
no_runtime,single,Curvelet Transform Sharpness Index,0.24420346576369187,0.0730402816157065,0.19285451051929625,12
no_runtime,single,Wavelet Detail Energy (db1),0.24420346576369187,0.0730402816157065,0.19285451051929625,13
