protocol,dataset_scope,held_out_dataset,evaluation_dataset,seed,train_datasets,heldout_score,all_dataset_score,all_dataset_score_std,best_training_objective,best_complexity,num_nodes,tree_height,best_expression,terminals,result_json
lodo,TBF,TBF,TBF,42,WBC | TBI | PBS | BMA,0.25251696134868856,0.24601701408520577,0.042449067131789295,0.1849466304950921,21.0,21,8,"add(Fourier_Transform_Sharpness_Index, mul(GLCM_Contrast, mul(mul(Fourier_High_Frequency_Energy_Ratio, Wavelet_W3), mul(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, mul(GLCM_Contrast, pdiv(pdiv(Brenner_Gradient, Wavelet_W3), pdiv(Gradient_Squared_Energy, Brenner_Gradient))))))))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_42/best_result.json
lodo,TBF,TBF,TBF,43,WBC | TBI | PBS | BMA,0.25183066629213763,0.2483376491383109,0.03959272642028104,0.1857141716101213,14.0,14,6,"add(mul(mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, mul(mul(GLCM_Contrast, Gradient_Squared_Energy), Gradient_Squared_Energy))), Gradient_Squared_Energy), psqrt(Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_43/best_result.json
lodo,TBF,TBF,TBF,44,WBC | TBI | PBS | BMA,0.25247054444032524,0.2472446019539677,0.03980636560451389,0.18501312978663975,17.0,17,7,"add(mul(Gradient_Squared_Energy, mul(Fourier_Transform_Sharpness_Index, mul(Gradient_Squared_Energy, mul(Gradient_Squared_Energy, mul(psqrt(Fourier_Transform_Sharpness_Index), mul(Fourier_Transform_Sharpness_Index, GLCM_Contrast)))))), psqrt(Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_44/best_result.json
lodo,TBF,TBF,TBF,45,WBC | TBI | PBS | BMA,0.23650774996799623,0.24737555940206563,0.04227555019154074,0.18584555692605895,17.0,17,7,"add(Fourier_Transform_Sharpness_Index, mul(mul(mul(GLCM_Contrast, Brenner_Gradient), Wavelet_W1), mul(mul(mul(Fourier_High_Frequency_Energy_Ratio, psqrt(pabs(Fourier_Transform_Sharpness_Index))), Fourier_Transform_Sharpness_Index), GLCM_Contrast)))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_45/best_result.json
lodo,TBF,TBF,TBF,46,WBC | TBI | PBS | BMA,0.2521485748170457,0.24621013734076835,0.03930686457280325,0.1841391554284791,16.0,16,7,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(mul(mul(GLCM_Contrast, mul(Brenner_Gradient, mul(Fourier_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, Brenner_Gradient)))), Fourier_Transform_Sharpness_Index), Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_46/best_result.json
lodo,TBF,TBF,TBF,47,WBC | TBI | PBS | BMA,0.23643356635766896,0.24547701239085556,0.04223808174287222,0.18450533182915996,21.0,21,7,"add(Fourier_Transform_Sharpness_Index, mul(mul(mul(mul(GLCM_Contrast, Gradient_Squared_Energy), mul(mul(mul(Wavelet_W1, Gradient_Squared_Energy), pdiv(Intensity_Skewness_Index, Intensity_Skewness_Index)), mul(GLCM_Contrast, Fourier_Transform_Sharpness_Index))), Fourier_High_Frequency_Energy_Ratio), Fourier_High_Frequency_Energy_Ratio))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_47/best_result.json
lodo,TBF,TBF,TBF,48,WBC | TBI | PBS | BMA,0.23674421535503545,0.24571031851298114,0.040140432294649524,0.1840393506790901,24.0,24,8,"add(pabs(sub(Brenner_Gradient, Intensity_Skewness_Index)), add(pabs(Brenner_Gradient), mul(add(mul(Brenner_Gradient, mul(add(mul(Fourier_High_Frequency_Energy_Ratio, Wavelet_W1), pabs(Intensity_Skewness_Index)), Wavelet_W1)), pabs(psqrt(Fourier_Transform_Sharpness_Index))), Fourier_Transform_Sharpness_Index)))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_48/best_result.json
lodo,TBF,TBF,TBF,49,WBC | TBI | PBS | BMA,0.23570498083528638,0.24249906860089143,0.03293199803506603,0.17962894758541528,9.0,9,5,"sub(Fourier_Transform_Sharpness_Index, mul(Curvelet_Transform_Sharpness_Index, psqrt(psqrt(sub(Brenner_Gradient, Gradient_Squared_Energy)))))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_49/best_result.json
lodo,TBF,TBF,TBF,50,WBC | TBI | PBS | BMA,0.2531177620019516,0.24730520248158644,0.0439316290818659,0.18629313003987638,20.0,20,6,"add(mul(mul(Fourier_High_Frequency_Energy_Ratio, Gradient_Squared_Energy), mul(mul(Fourier_Transform_Sharpness_Index, mul(mul(Gradient_Squared_Energy, Fourier_Transform_Sharpness_Index), Brenner_Gradient)), mul(mul(Gradient_Squared_Energy, Fourier_Transform_Sharpness_Index), Brenner_Gradient))), psqrt(Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_50/best_result.json
lodo,TBF,TBF,TBF,51,WBC | TBI | PBS | BMA,0.23630415894488532,0.2478134737324804,0.04053009245662123,0.1856284284746006,18.0,18,7,"add(Fourier_Transform_Sharpness_Index, mul(Fourier_High_Frequency_Energy_Ratio, mul(mul(Gradient_Squared_Energy, mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index)), psqrt(mul(mul(GLCM_Contrast, Wavelet_W1), psqrt(pabs(Gradient_Squared_Energy)))))))",Gradient Squared Energy | Curvelet Transform Sharpness Index | Fourier Transform Sharpness Index | Wavelet W1 | Sum Modified Laplacian | GLCM Contrast | Intensity Skewness Index | Brenner Gradient | Fourier High Frequency Energy Ratio | Wavelet W3,outputs/05_gp_runs/folds/heldout_TBF/seed_51/best_result.json
