protocol,fold_or_scope,seed,population_size,num_generations,num_seeds,tournament_size,crossover_probability,mutation_probability,max_tree_depth,max_nodes,elitism,use_nsga2,device,max_eval_seconds,primary_objective,secondary_objective,result_json
lodo,PBS,50,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_50/best_result.json
lodo,PBS,51,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_51/best_result.json
lodo,TBF,42,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_42/best_result.json
lodo,TBF,43,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_43/best_result.json
lodo,TBF,44,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_44/best_result.json
lodo,TBF,45,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_45/best_result.json
lodo,TBF,46,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_46/best_result.json
lodo,TBF,47,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_47/best_result.json
lodo,TBF,48,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_48/best_result.json
lodo,TBF,49,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_49/best_result.json
lodo,TBF,50,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_50/best_result.json
lodo,TBF,51,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBF/seed_51/best_result.json
lodo,TBI,42,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_42/best_result.json
lodo,TBI,43,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_43/best_result.json
lodo,TBI,44,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_44/best_result.json
lodo,TBI,45,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_45/best_result.json
lodo,TBI,46,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_46/best_result.json
lodo,TBI,47,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_47/best_result.json
lodo,TBI,48,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_48/best_result.json
lodo,TBI,49,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_49/best_result.json
lodo,TBI,50,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_50/best_result.json
lodo,TBI,51,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_TBI/seed_51/best_result.json
lodo,WBC,42,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_42/best_result.json
lodo,WBC,43,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_43/best_result.json
lodo,WBC,44,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_44/best_result.json
lodo,WBC,45,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_45/best_result.json
lodo,WBC,46,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_46/best_result.json
lodo,WBC,47,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_47/best_result.json
lodo,WBC,48,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_48/best_result.json
lodo,WBC,49,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_49/best_result.json
lodo,WBC,50,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_50/best_result.json
lodo,WBC,51,500,100,10,3,0.5,0.2,10,,1,True,,,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_WBC/seed_51/best_result.json
