dataset_name,measure_name,num_stacks_used,native_avg_time_per_slice_sec,avg_time_per_slice_sec_128,avg_time_per_slice_sec_512,avg_time_per_slice_sec_1024
TBF,Wavelet W1,10,0.14850470150006004,0.00041675901971757414,0.002828752060595434,0.017361427440191618
WBC,Wavelet W2,10,0.00042622790148016064,0.00025717866141349076,0.0036137123403022996,0.02093923448061105
TBI,Wavelet W2,10,0.1705349551216932,0.0005819269592757337,0.003414483038941398,0.019921997779165396
PBS,Wavelet W2,10,0.17436719165969408,0.00047317418007878585,0.0035284997810958885,0.0206124575206195
BMA,Wavelet W2,10,0.19579405356082133,0.0004889690602431074,0.0035352765797870235,0.02056077667948557
TBF,Wavelet W2,10,0.1711020315391943,0.0004674306188826449,0.003474170519039035,0.021078391640330665
WBC,Wavelet W3,10,0.0004472666003857739,0.0002984470207593404,0.003097213640867267,0.020455554398649836
TBI,Wavelet W3,10,0.19072271313809325,0.000558704020222649,0.0034913203795440494,0.020413736340706236
PBS,Wavelet W3,10,0.17317350819968852,0.0005327727008261718,0.0035264456196455285,0.020286547199648338
BMA,Wavelet W3,10,0.16342878549941817,0.0005793601600453257,0.0034539732607663607,0.019648961620696355
TBF,Wavelet W3,10,0.16558555174036882,0.0005731141814612783,0.003892938241478987,0.021590481520688626
WBC,Wavelet Detail Energy (db1),10,0.00035290999920107425,0.00019116044015390798,0.0024534353008493783,0.018143744439294097
TBI,Wavelet Detail Energy (db1),10,0.16583424493961502,0.00042159859993262216,0.002998711739783175,0.018729779199056794
PBS,Wavelet Detail Energy (db1),10,0.15701296053943226,0.000427734621334821,0.0030791171206510626,0.018390365398663563
BMA,Wavelet Detail Energy (db1),10,0.16890894236043097,0.0004324768597143702,0.0029336450196569787,0.01878322900040075
TBF,Wavelet Detail Energy (db1),10,0.14516160122147995,0.00041222953906981273,0.0028053930195164867,0.017338035319698974
WBC,Curvelet Transform Sharpness Index,10,0.00038611271884292364,0.00020946772041497753,0.0027664143397123555,0.01929801699880045
TBI,Curvelet Transform Sharpness Index,10,0.15123596626101063,0.00043863510101800786,0.002928671420668252,0.017912506779830438
PBS,Curvelet Transform Sharpness Index,10,0.15412760525970953,0.000435729059681762,0.0027763811603654176,0.018027694360353053
BMA,Curvelet Transform Sharpness Index,10,0.17846060148003745,0.000416920120769646,0.002733479818853084,0.017630485900153873
TBF,Curvelet Transform Sharpness Index,10,0.15238053571869387,0.0004238867195090279,0.002923045538482256,0.01842140836204635
WBC,DCT Focus Measure,10,0.000296022139955312,0.00013350299996091054,0.0017332694394281134,0.009361958740919362
TBI,DCT Focus Measure,10,0.07386502441921039,0.0002984419392305426,0.0021740696590859445,0.00991323896072572
PBS,DCT Focus Measure,10,0.06936617226077942,0.00029070398071780803,0.0021085743396542967,0.009334223360347095
BMA,DCT Focus Measure,10,0.07111885188089218,0.00032046185951912777,0.002360361001919955,0.009808761982130819
TBF,DCT Focus Measure,10,0.07051159979979275,0.0003059557196684182,0.0022382512196782046,0.009933896760630887
WBC,Intensity Skewness Index,10,0.0005091130794608034,0.00022660459828330204,0.0028124968995689413,0.01191619357909076
TBI,Intensity Skewness Index,10,0.07322000490006758,0.00042767555831233037,0.003338448521099053,0.012636155841464642
PBS,Intensity Skewness Index,10,0.06554580375959632,0.00043260569975245744,0.003424365439568646,0.012416386879922357
BMA,Intensity Skewness Index,10,0.0644807897208375,0.00042296441999496894,0.003181523300590925,0.011922749259974807
TBF,Intensity Skewness Index,10,0.07305743452016031,0.00045662824006285517,0.0034052434581099077,0.0124605697215884
WBC,Squared Gradient,10,0.00010796833899803459,5.173247947823256e-05,0.0008666969602927566,0.00313899747969117
